STATION,NUMFULLDAYS
-0301,288
-0302,296
-0303,331
-0304,325
-0305,331
-0306,335
-0307,315
-0308,335
-0309,181
-0310,335
-0312,306
-0313,334
-0314,260
-0315,313
-0316,335
-0317,334
-0318,296
-0319,322
-0320,336
-0321,324
-0322,132
-0324,313
-0325,333
-0327,335
-0329,328
-0332,335
-0333,331
-0335,323
-0340,304
-0348,326
-0349,326
-0350,329
-0351,329
-0353,328
-0354,316
-0355,335
-0362,328
-0363,308
-0382,330
-0402,331
-0403,327
-0404,135
-0405,335
-0406,322
-0407,335
-0408,324
-0411,314
-0412,335
-0414,324
-0416,335
-0418,183
-0420,334
-0421,232
-0424,335
-0425,335
-0430,335
-0431,329
-0501,274
-0502,332
-0503,335
-0504,334
-0507,282
-0508,316
-0509,323
-0510,334
-0511,326
-0512,326
-0513,335
-0601,326
-0602,297
-0605,334
-0606,314
-0609,332
-0611,290
-0612,331
-0613,335
-0614,331
-0615,209
-0616,299
-0617,322
-0619,277
-0620,281
-0621,322
-0622,321
-0623,335
-0624,286
-0625,308
-0626,310
-0627,309
-0628,270
-0629,324
-0630,319
-0631,316
-0632,292
-0633,329
-0634,330
-0635,330
-0636,335
-0637,176
-0638,97
-0639,114
-0641,75
-0642,45
-0643,57
-0644,35
-0645,55
-0646,114
-0647,75
-0648,118
-0649,105
-0650,72
-0651,37
-0653,104
-0654,72
-0655,107
-0656,67
-0657,112
-0658,64
-0659,87
-0660,38
-0661,121
-0662,124
-0663,86
-0665,121
-0667,119
-0669,106
-0670,99
-0671,100
-0672,117
-0674,81
-0702,178
-0703,333
-0704,321
-0711,221
-0712,311
-0713,315
-0714,324
-0715,159
-0716,170
