"STATION","STATION_N","ROUTE","MP","NEG_AADT","POS_AADT","TOT_AADT","NEG_0000","NEG_0100","NEG_0200","NEG_0300","NEG_0400","NEG_0500","NEG_0600","NEG_0700","NEG_0800","NEG_0900","NEG_1000","NEG_1100","NEG_1200","NEG_1300","NEG_1400","NEG_1500","NEG_1600","NEG_1700","NEG_1800","NEG_1900","NEG_2000","NEG_2100","NEG_2200","NEG_2300","POS_0000","POS_0100","POS_0200","POS_0300","POS_0400","POS_0500","POS_0600","POS_0700","POS_0800","POS_0900","POS_1000","POS_1100","POS_1200","POS_1300","POS_1400","POS_1500","POS_1600","POS_1700","POS_1800","POS_1900","POS_2000","POS_2100","POS_2200","POS_2300","TOT_0000","TOT_0100","TOT_0200","TOT_0300","TOT_0400","TOT_0500","TOT_0600","TOT_0700","TOT_0800","TOT_0900","TOT_1000","TOT_1100","TOT_1200","TOT_1300","TOT_1400","TOT_1500","TOT_1600","TOT_1700","TOT_1800","TOT_1900","TOT_2000","TOT_2100","TOT_2200","TOT_2300","SUTRUCKS","CUTRUCKS"
"-0626",626,"0073",35.153,17142,16340,33482,166,81,50,36,58,272,521,522,524,571,634,754,889,967,1090,1336,1634,1824,1597,1109,936,758,520,293,54,31,30,64,203,621,1213,1502,1281,1052,913,921,922,868,922,1050,1076,1126,852,592,442,316,186,103,220,112,80,100,261,893,1734,2024,1805,1623,1547,1675,1811,1835,2012,2386,2710,2950,2449,1701,1378,1074,706,396,0.136,0.072
"-0627",627,"0154",13.004,32221,34379,66600,312,200,136,170,322,686,1298,1695,1618,1425,1338,1445,1594,1705,2022,2559,2964,2988,2406,1613,1328,1089,809,499,250,153,142,192,383,1099,2121,2638,2606,1856,1507,1601,1661,1699,1862,2293,2597,2587,2192,1529,1242,1025,725,419,562,353,278,362,705,1785,3419,4333,4224,3281,2845,3046,3255,3404,3884,4852,5561,5575,4598,3142,2570,2114,1534,918,0.126,0.027
"-0628",628,"0215",28.55,20001,20002,40003,166,117,118,217,400,968,1413,1350,1216,1074,935,983,1068,1080,1113,1263,1313,1286,1079,844,700,598,427,273,278,184,124,125,194,360,644,922,1065,1032,1008,1060,1064,1130,1264,1549,1813,1761,1232,885,785,633,531,359,444,301,242,342,594,1328,2057,2272,2281,2106,1943,2043,2132,2210,2377,2812,3126,3047,2311,1729,1485,1231,958,632,0.077,0.108
"-0629",629,"0015",304.0,110072,112285,222357,1279,875,589,462,660,1715,3914,5927,6579,5928,5858,6339,6693,6934,7479,7925,7610,7125,6462,5277,4673,4276,3375,2118,996,628,474,545,981,2640,5206,6640,6862,6486,6118,6378,6625,6778,7049,7527,7695,7491,7038,5428,4430,3815,2809,1646,2275,1503,1063,1007,1641,4355,9120,12567,13441,12414,11976,12717,13318,13712,14528,15452,15305,14616,13500,10705,9103,8091,6184,3764,0.063,0.04
"-0630",630,"0015",296.4,132843,130273,263116,1411,875,600,526,910,2385,4857,7182,7848,7151,6835,7373,7760,8146,8750,9461,9740,9437,8328,6537,5679,4938,3795,2319,1057,646,506,577,1072,3175,6722,7694,7780,7532,7159,7540,7770,7843,8128,8697,8862,8705,8170,6201,5152,4353,3138,1794,2468,1521,1106,1103,1982,5560,11579,14876,15628,14683,13994,14913,15530,15989,16878,18158,18602,18142,16498,12738,10831,9291,6933,4113,0.149,0.063
"-0631",631,"0266",1.923,12983,12019,25002,149,98,72,51,58,106,236,419,532,542,581,727,834,812,901,1046,1209,1229,975,703,603,495,375,230,103,70,52,51,92,247,504,864,929,717,633,705,772,748,747,754,799,763,678,542,462,372,255,160,252,168,124,102,150,353,740,1283,1461,1259,1214,1432,1606,1560,1648,1800,2008,1992,1653,1245,1065,867,630,390,0.079,0.012
"-0632",632,"0145",5.555,23754,24348,48102,211,101,56,40,62,212,560,786,791,811,957,1186,1322,1433,1620,1927,2290,2333,1970,1537,1360,1110,705,374,108,58,43,65,167,561,1209,1952,2008,1710,1442,1429,1476,1394,1420,1581,1718,1679,1430,1018,766,560,349,205,319,159,99,105,229,773,1769,2738,2799,2521,2399,2615,2798,2827,3040,3508,4008,4012,3400,2555,2126,1670,1054,579,0.079,0.027
"-0633",633,"0085",3.374,6660,6948,13608,41,22,15,14,36,165,343,505,455,367,311,319,325,332,368,505,574,584,443,290,233,191,135,87,45,24,14,28,51,131,337,417,377,275,264,285,318,343,392,515,687,798,597,349,272,212,139,78,86,46,29,42,87,296,680,922,832,642,575,604,643,675,760,1020,1261,1382,1040,639,505,403,274,165,0.055,0.032
"-0634",634,"0085",15.84,10935,12113,23048,91,63,50,70,140,309,572,771,606,433,385,410,452,489,586,803,1070,1157,810,537,389,324,248,170,83,53,49,74,150,379,731,1025,900,536,451,480,514,549,642,857,991,1057,858,559,436,353,240,146,174,116,99,144,290,688,1303,1796,1506,969,836,890,966,1038,1228,1660,2061,2214,1668,1096,825,677,488,316,0.138,0.229
"-0635",635,"0015",287.23,92163,90932,183095,977,584,393,322,503,1427,3088,4853,5531,5060,4725,5052,5212,5431,5872,6809,7388,6782,5838,4463,3995,3475,2738,1645,728,432,320,374,692,1995,4590,5598,5315,4847,4596,4914,5190,5357,5772,6550,7113,6927,5763,4265,3520,2854,2017,1203,1705,1016,713,696,1195,3422,7678,10451,10846,9907,9321,9966,10402,10788,11644,13359,14501,13709,11601,8728,7515,6329,4755,2848,0.084,0.061
"-0636",636,"0154",1.857,31998,32972,64970,168,100,70,111,286,1078,2199,3008,3007,2257,1785,1767,1743,1678,1683,1905,1948,1868,1649,1202,953,739,496,298,297,166,101,81,110,313,817,1227,1325,1110,1178,1421,1645,1801,2186,2894,3641,3678,2723,1861,1613,1346,914,524,465,266,171,192,396,1391,3016,4235,4332,3367,2963,3188,3388,3479,3869,4799,5589,5546,4372,3063,2566,2085,1410,822,0.139,0.029
"-0703",703,"0008",0.64,13106,12543,25649,91,48,31,20,27,66,181,341,491,606,756,917,1031,1022,1041,1082,1100,1144,917,702,595,451,280,166,57,30,22,27,58,161,303,615,795,791,858,946,1000,955,925,936,889,869,748,535,426,315,180,102,148,78,53,47,85,227,484,956,1286,1397,1614,1863,2031,1977,1966,2018,1989,2013,1665,1237,1021,766,460,268,0.132,0.019
"-0704",704,"3196",7.54,11135,12296,23431,70,35,23,17,27,78,141,295,426,498,676,861,964,966,931,924,875,848,765,592,480,324,199,120,65,32,22,19,23,57,139,245,344,531,771,966,1099,1087,1079,1056,1014,993,850,662,516,374,227,125,135,67,45,36,50,135,280,540,770,1029,1447,1827,2063,2053,2010,1980,1889,1841,1615,1254,996,698,426,245,0.078,0.1
"-0712",712,"0007",1.337,2176,2194,4370,15,8,8,12,17,40,70,124,150,134,139,166,161,142,144,163,165,150,118,77,62,46,34,31,18,11,9,9,25,58,71,96,95,110,140,145,145,151,162,160,168,169,122,98,86,65,50,31,33,19,17,21,42,98,141,220,245,244,279,311,306,293,306,323,333,319,240,175,148,111,84,62,0.11,0.107
"-0713",713,"0007",4.8,2356,2283,4639,12,4,3,8,18,66,98,171,167,139,144,175,170,151,148,168,168,151,126,84,67,49,36,33,16,9,7,6,20,43,70,90,93,108,138,146,143,147,171,175,188,210,143,109,94,69,56,32,28,13,10,14,38,109,168,261,260,247,282,321,313,298,319,343,356,361,269,193,161,118,92,65,0.132,0.053
"-0714",714,"0007",6.91,1598,1527,3125,12,3,2,4,11,41,61,83,74,77,86,115,112,106,111,135,121,110,99,68,58,44,34,31,8,5,4,3,20,46,61,76,85,84,107,113,98,95,116,112,120,124,76,54,45,30,28,17,20,8,6,7,31,87,122,159,159,161,193,228,210,201,227,247,241,234,175,122,103,74,62,48,0.156,0.062
